winner,difference
1,309
0,61
1,-4
1,-15
1,54
-1,248
1,97
0,-695
0,47
1,172
1,109
0,-486
0,-555
0,-226
1,-47
0,47
0,-47
0,47
0,-206
1,406
0,-582
1,26
1,406
1,201
0,-310
1,-141
1,746
0,290
0,-100
0,-71
0,322
0,198
1,184
0,-481
1,447
0,-856
1,591
0,-522
1,522
1,1471
-1,229
0,263
1,522
1,1465
1,522
1,522
0,-522
1,365
1,1458
1,1458
0,-522
1,522
1,-522
0,522
1,359
1,-93
1,34
0,-28
0,163
1,59
0,-372
1,-6
0,-27
1,358
0,50
1,181
1,-35
0,-54
1,83
0,228
0,109
1,27
0,-381
0,48
1,256
1,42
1,-157
1,141
0,-526
0,208
1,116
1,-131
1,-28
0,-294
1,129
1,10
1,70
0,-50
0,17
0,-139
1,121
1,53
1,143
0,-331
0,-401
1,-271
1,56
1,0
-1,31
1,-14
1,203
1,-131
1,222
1,338
0,-71
0,-131
1,5
1,-29
1,259
0,9
0,118
0,373
0,35
1,-66
0,11
1,-102
0,62
0,116
0,0
1,-234
0,330
1,781
0,25
1,294
0,149
0,-70
-1,-73
0,-121
0,-125
0,39
1,151
0,-144
1,-32
0,-38
0,-136
1,61
1,-73
1,43
1,-5
0,102
1,34
0,239
1,11
-1,-4
1,0
1,325
1,91
0,-9
0,-252
0,-398
1,-37
0,212
1,-37
1,0
0,-115
1,3
1,0
1,-30
1,-67
0,17
1,79
1,48
1,-39
0,20
1,-20
1,-3
1,-48
1,29
1,45
0,-9
0,3
0,42
0,40
0,5
1,36
0,-99
-1,23
0,-31
0,17
1,-25
0,-30
-1,31
1,27
1,-1
0,-1
1,1
0,-72
0,68
0,24
0,-23
0,7
0,-26
0,16
0,20
1,50
1,12
0,12
1,-9
0,-9
0,-337
0,-173
1,201
1,56
0,-819
1,142
1,517
1,-22
0,142
0,-195
0,-521
0,517
1,-211
1,112
1,-205
1,69
0,-69
0,-484
0,-166
0,290
0,-260
-1,-404
0,376
1,-196
0,-510
1,-2
1,21
1,-10
-1,-49
1,142
0,59
0,119
0,-566
1,128
1,-14
1,17
0,-110
0,-49
1,1
1,-81
-1,46
1,-22
1,-182
1,-60
0,87
1,26
0,50
0,-11
1,460
0,17
1,113
1,28
1,-49
1,354
1,137
0,-101
1,247
1,49
1,25
0,-25
0,102
0,-101
0,10
1,-50
0,50
1,-75
1,-74
0,155
1,-233
